Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testSuite login,Chrome 73.0.3683.75,,2019-03-22 18:43:12,2019-03-22 18:44:14,1m - 2.022s,PASSED
,,,,,,
Test Cases/Cura HealthCare Test Cases/Manual Test Case,Chrome 73.0.3683.75,Manual test case tutorial Part 2,2019-03-22 18:43:12,2019-03-22 18:43:54,42.122s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-03-22 18:43:12,2019-03-22 18:43:20,7.466s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 73.0.3683.75,,2019-03-22 18:43:20,2019-03-22 18:43:52,32.614s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""), 0)",Chrome 73.0.3683.75,,2019-03-22 18:43:52,2019-03-22 18:43:52,0.085s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 73.0.3683.75,,2019-03-22 18:43:52,2019-03-22 18:43:53,0.851s,PASSED
closeBrowser(),Chrome 73.0.3683.75,,2019-03-22 18:43:53,2019-03-22 18:43:54,0.671s,PASSED
,,,,,,
Test Cases/Cura HealthCare Test Cases/Record Web,Chrome 73.0.3683.75,Sample record web test case.,2019-03-22 18:43:54,2019-03-22 18:44:14,19.630s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-03-22 18:43:54,2019-03-22 18:44:01,6.935s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 73.0.3683.75,,2019-03-22 18:44:01,2019-03-22 18:44:10,8.864s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 73.0.3683.75,,2019-03-22 18:44:10,2019-03-22 18:44:11,0.933s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 73.0.3683.75,,2019-03-22 18:44:11,2019-03-22 18:44:11,0.131s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 73.0.3683.75,,2019-03-22 18:44:11,2019-03-22 18:44:11,0.114s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 73.0.3683.75,,2019-03-22 18:44:11,2019-03-22 18:44:12,0.645s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare C""), ""Hongkong CURA Healthcare Center"", true)",Chrome 73.0.3683.75,,2019-03-22 18:44:12,2019-03-22 18:44:12,0.181s,PASSED
"check(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readm""))",Chrome 73.0.3683.75,,2019-03-22 18:44:12,2019-03-22 18:44:12,0.090s,PASSED
"selectOptionByIndex(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare C""), 1)",Chrome 73.0.3683.75,,2019-03-22 18:44:12,2019-03-22 18:44:12,0.115s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 73.0.3683.75,,2019-03-22 18:44:12,2019-03-22 18:44:12,0.064s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Visit Date (Required)_gly""))",Chrome 73.0.3683.75,,2019-03-22 18:44:12,2019-03-22 18:44:12,0.071s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_25""))",Chrome 73.0.3683.75,,2019-03-22 18:44:12,2019-03-22 18:44:12,0.059s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Sample appointment katalon."")",Chrome 73.0.3683.75,,2019-03-22 18:44:12,2019-03-22 18:44:12,0.151s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 73.0.3683.75,,2019-03-22 18:44:12,2019-03-22 18:44:13,0.428s,PASSED
closeBrowser(),Chrome 73.0.3683.75,,2019-03-22 18:44:13,2019-03-22 18:44:14,0.690s,PASSED
